[2026-03-19T16:36:34.508Z] GET http://localhost:3000/ → 200 (80ms, 53122B)
[2026-03-19T16:36:34.595Z] GET http://localhost:3000/_next/static/chunks/Documents_snacksandsipsweb_src_app_globals_3dde203c.css → 200 (14ms, 44533B)
[2026-03-19T16:36:34.596Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_6439aca5._.js → 200 (14ms, 671B)
[2026-03-19T16:36:34.596Z] GET http://localhost:3000/_next/static/chunks/3b8a9_next_dist_compiled_react-dom_09771519._.js → 200 (42ms, 1048468B)
[2026-03-19T16:36:34.596Z] GET http://localhost:3000/_next/static/chunks/3b8a9_next_dist_compiled_react-server-dom-turbopack_d02bf5d5._.js → 200 (16ms, 171348B)
[2026-03-19T16:36:34.596Z] GET http://localhost:3000/_next/static/chunks/3b8a9_next_dist_compiled_next-devtools_index_cb57f504.js → 200 (42ms, 816073B)
[2026-03-19T16:36:34.596Z] GET http://localhost:3000/_next/static/chunks/3b8a9_next_dist_compiled_bd962a6d._.js → 200 (16ms, 145631B)
[2026-03-19T16:36:34.596Z] GET http://localhost:3000/_next/static/chunks/3b8a9_next_dist_client_a31fcd97._.js → 200 (33ms, 634911B)
[2026-03-19T16:36:34.596Z] GET http://localhost:3000/_next/static/chunks/3b8a9_next_dist_52ea5e9f._.js → 200 (17ms, 213608B)
[2026-03-19T16:36:34.596Z] GET http://localhost:3000/_next/static/chunks/3b8a9_%40swc_helpers_cjs_c61ebb71._.js → 200 (17ms, 2026B)
[2026-03-19T16:36:34.596Z] GET http://localhost:3000/_next/static/chunks/Documents_snacksandsipsweb_a0ff3932._.js → 200 (16ms, 734B)
[2026-03-19T16:36:34.596Z] GET http://localhost:3000/_next/static/chunks/turbopack-Documents_snacksandsipsweb_df805113._.js → 200 (18ms, 75001B)
[2026-03-19T16:36:34.596Z] GET http://localhost:3000/_next/static/chunks/3b8a9_next_dist_71eaacc2._.js → 200 (21ms, 129895B)
[2026-03-19T16:36:34.596Z] GET http://localhost:3000/_next/static/chunks/3b8a9_next_dist_client_components_builtin_global-error_16a6d191.js → 200 (18ms, 255B)
[2026-03-19T16:36:34.597Z] GET http://localhost:3000/_next/static/chunks/Documents_snacksandsipsweb_2a95ea06._.js → 200 (26ms, 68260B)
[2026-03-19T16:36:34.597Z] GET http://localhost:3000/_next/static/chunks/Documents_snacksandsipsweb_src_app_layout_tsx_16a6d191._.js → 200 (20ms, 341B)
[2026-03-19T16:36:34.597Z] GET http://localhost:3000/_next/static/chunks/3b8a9_next_051026d0._.js → 200 (31ms, 141416B)
[2026-03-19T16:36:34.597Z] GET http://localhost:3000/_next/static/chunks/Documents_snacksandsipsweb_src_app_page_tsx_2471385e._.js → 200 (26ms, 49057B)
[2026-03-19T16:36:34.597Z] GET http://localhost:3000/_next/static/chunks/Documents_snacksandsipsweb_src_app_page_tsx_7afd8e66._.js → 200 (31ms, 327B)
[2026-03-19T16:36:34.597Z] GET https://fonts.googleapis.com/css2?family=Playfair+Display:ital,wght@0,400;0,500;0,600;0,700;1,400;1,500&family=Inter:wght@300;400;500;600&display=swap → 200 (173ms, 20018B)
[2026-03-19T16:36:34.610Z] GET http://localhost:3000/videos/HoneyOnBoard.mov → 206 (11ms, ?B)
[2026-03-19T16:36:34.611Z] GET http://localhost:3000/videos/videodrink.mov → 206 (17ms, ?B)
[2026-03-19T16:36:34.630Z] GET http://localhost:3000/videos/videodrink.mov → 206 (8ms, 29098B)
[2026-03-19T16:36:34.630Z] GET http://localhost:3000/videos/HoneyOnBoard.mov → 206 (8ms, 39453B)
[2026-03-19T16:36:34.789Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgEM86xQ.woff2 → 200 (171ms, 38460B)
[2026-03-19T16:36:34.789Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (146ms, 48432B)
[2026-03-19T16:36:34.789Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFkD-vYSZviVYUb_rj3ij__anPXDTnogkk7yRZrPA.woff2 → 200 (171ms, 38888B)
[2026-03-19T16:36:34.789Z] GET http://localhost:3000/_next/image?url=%2Fimages%2Fcharcuterie-board-closeup.jpg&w=640&q=75 → 200 (62ms, 48906B)
[2026-03-19T16:36:34.789Z] GET http://localhost:3000/_next/image?url=%2Fimages%2FJC6A0489.JPEG&w=640&q=75 → 200 (119ms, 28502B)
[2026-03-19T16:36:34.791Z] GET http://localhost:3000/_next/image?url=%2Fimages%2Fvalentineboard.png&w=640&q=75 → 200 (95ms, 83904B)
[2026-03-19T16:36:34.791Z] GET http://localhost:3000/_next/image?url=%2Fimages%2FJC6A0643.JPEG&w=1200&q=75 → 200 (59ms, 36364B)
[2026-03-19T16:36:34.850Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (13ms, 15433B)
[2026-03-19T16:36:34.850Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_e0464970._.js → 200 (13ms, 288B)
[2026-03-19T16:36:35.335Z] GET http://localhost:3000/videos/HoneyOnBoard.mov → 206 (3ms, ?B)
[2026-03-19T16:36:41.788Z] GET http://localhost:3000/_next/image?url=%2Fimages%2Fpink-strawberry-slush.png&w=256&q=75 → 200 (30ms, 6098B)
[2026-03-19T16:36:41.788Z] GET http://localhost:3000/_next/image?url=%2Fimages%2Fblue-mango-cup.png&w=256&q=75 → 200 (30ms, 5968B)
[2026-03-19T16:36:41.788Z] GET http://localhost:3000/_next/image?url=%2Fimages%2Fpistachio-caramel-cup.png&w=256&q=75 → 200 (31ms, 7246B)
[2026-03-19T16:37:04.397Z] GET http://localhost:3000/boards → 200 (48ms, 121268B)
[2026-03-19T16:37:04.450Z] GET http://localhost:3000/_next/static/chunks/Documents_snacksandsipsweb_src_app_globals_3dde203c.css → 200 (4ms, 44533B)
[2026-03-19T16:37:04.450Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_6439aca5._.js → 200 (4ms, 671B)
